Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
2018S01,S1   2018,2018,S,Semi-annual,0,World,0,All ships,1984908,
2018S01,S1   2018,2018,S,Semi-annual,0,World,1,Passenger ships,1053697,
2018S01,S1   2018,2018,S,Semi-annual,0,World,2,Liquid bulk carriers,245147,
2018S01,S1   2018,2018,S,Semi-annual,0,World,3,Container ships,226063,
2018S01,S1   2018,2018,S,Semi-annual,0,World,4,Dry breakbulk carriers,211031,
2018S01,S1   2018,2018,S,Semi-annual,0,World,5,Dry bulk carriers,125102,
2018S01,S1   2018,2018,S,Semi-annual,0,World,6,Roll-on/ roll-off ships,93789,
2018S01,S1   2018,2018,S,Semi-annual,0,World,7,Liquefied petroleum gas carriers,24977,
2018S01,S1   2018,2018,S,Semi-annual,0,World,8,Liquefied natural gas carriers,5102,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,0,All ships,31406,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,1,Passenger ships,16589,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,2,Liquid bulk carriers,1843,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,3,Container ships,2169,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,4,Dry breakbulk carriers,1353,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,5,Dry bulk carriers,7320,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,6,Roll-on/ roll-off ships,1471,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,7,Liquefied petroleum gas carriers,179,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,8,Liquefied natural gas carriers,482,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,0,All ships,35740,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,1,Passenger ships,24459,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,2,Liquid bulk carriers,2176,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,3,Container ships,1027,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,4,Dry breakbulk carriers,1387,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,5,Dry bulk carriers,4951,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,6,Roll-on/ roll-off ships,1740,
2018S01,S1   2018,2018,S,Semi-annual,1400,Developing economies,0,All ships,598804,
