Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
2018S01,S1   2018,2018,S,Semi-annual,0,World,0,All ships,0.97,,18,,15222,,234006,,24074,,441561,,3526,,21413,
2018S01,S1   2018,2018,S,Semi-annual,0,World,1,Passenger ships,,,21,,8978,,228081,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,0,World,2,Liquid bulk carriers,0.94,,13,,15470,,234006,,26871,,441561,,,,,
2018S01,S1   2018,2018,S,Semi-annual,0,World,3,Container ships,0.69,,13,,38405,,217673,,,,,,3526,,21413,
2018S01,S1   2018,2018,S,Semi-annual,0,World,4,Dry breakbulk carriers,1.12,,19,,5455,,91784,,7413,,138743,,,,,
2018S01,S1   2018,2018,S,Semi-annual,0,World,5,Dry bulk carriers,2.1,,13,,32136,,203403,,57574,,404389,,,,,
2018S01,S1   2018,2018,S,Semi-annual,0,World,6,Roll-on/ roll-off ships,,,17,,25291,,100430,,10192,,55828,,,,,
2018S01,S1   2018,2018,S,Semi-annual,0,World,7,Liquefied petroleum gas carriers,1,,14,,10548,,57509,,11915,,64220,,,,,
2018S01,S1   2018,2018,S,Semi-annual,0,World,8,Liquefied natural gas carriers,1.11,,11,,92660,,168189,,72117,,155159,,,,,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,0,All ships,1.49,,19,,25686,,168666,,78572,,299688,,4263,,8084,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,1,Passenger ships,,,27,,5105,,168666,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,2,Liquid bulk carriers,1.34,,7,,23585,,85496,,40187,,166447,,,,,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,3,Container ships,1.19,,12,,46778,,90449,,,,,,4263,,8084,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,4,Dry breakbulk carriers,1.69,,12,,15417,,54529,,21345,,80500,,,,,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,5,Dry bulk carriers,1.68,,9,,59996,,152305,,112598,,299688,,,,,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,6,Roll-on/ roll-off ships,,,14,,42019,,77000,,15797,,43878,,,,,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,7,Liquefied petroleum gas carriers,0.87,,11,,12082,,48963,,14044,,55250,,,,,
2018S01,S1   2018,2018,S,Semi-annual,36,Australia,8,Liquefied natural gas carriers,1.23,,9,,110103,,144978,,84312,,121963,,,,,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,0,All ships,0.84,,24,,14239,,168028,,35357,,319547,,5161,,14568,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,1,Passenger ships,,,27,,8836,,168028,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,2,Liquid bulk carriers,1.18,,12,,23604,,161367,,39776,,319547,,,,,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,3,Container ships,1.48,,12,,57642,,154300,,,,,,5161,,14568,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,4,Dry breakbulk carriers,0.28,,8,,10336,,37447,,12753,,61860,,,,,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,5,Dry bulk carriers,0.55,,22,,28506,,108051,,49364,,209935,,,,,
2018S01,S1   2018,2018,S,Semi-annual,124,Canada,6,Roll-on/ roll-off ships,,,24,,15380,,100430,,7900,,55828,,,,,
2018S01,S1   2018,2018,S,Semi-annual,156,China,0,All ships,1.01,,12,,32056,,217673,,43890,,403811,,4644,,21413,
2018S01,S1   2018,2018,S,Semi-annual,156,China,1,Passenger ships,,,10,,17075,,168666,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,156,China,2,Liquid bulk carriers,1.09,,11,,19404,,172146,,33892,,323527,,,,,
2018S01,S1   2018,2018,S,Semi-annual,156,China,3,Container ships,0.6,,11,,50187,,217673,,,,,,4644,,21413,
2018S01,S1   2018,2018,S,Semi-annual,156,China,4,Dry breakbulk carriers,1.15,,15,,9744,,91784,,14027,,138743,,,,,
2018S01,S1   2018,2018,S,Semi-annual,156,China,5,Dry bulk carriers,1.99,,11,,41091,,203403,,74721,,403811,,,,,
2018S01,S1   2018,2018,S,Semi-annual,156,China,6,Roll-on/ roll-off ships,,,14,,29504,,77000,,9715,,43878,,,,,
2018S01,S1   2018,2018,S,Semi-annual,156,China,7,Liquefied petroleum gas carriers,0.98,,12,,10094,,49292,,11170,,64220,,,,,
2018S01,S1   2018,2018,S,Semi-annual,156,China,8,Liquefied natural gas carriers,1.26,,9,,102691,,168189,,83873,,154940,,,,,
2018S01,S1   2018,2018,S,Semi-annual,191,Croatia,0,All ships,1.18,,15,,3904,,143521,,17120,,182060,,3427,,13100,
2018S01,S1   2018,2018,S,Semi-annual,191,Croatia,1,Passenger ships,,,15,,3516,,133596,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,191,Croatia,2,Liquid bulk carriers,1.02,,13,,17998,,84844,,31738,,164274,,,,,
2018S01,S1   2018,2018,S,Semi-annual,191,Croatia,3,Container ships,0.55,,13,,37578,,143521,,,,,,3427,,13100,
2018S01,S1   2018,2018,S,Semi-annual,191,Croatia,4,Dry breakbulk carriers,2.87,,21,,4544,,19426,,6152,,26931,,,,,
2018S01,S1   2018,2018,S,Semi-annual,191,Croatia,5,Dry bulk carriers,2.09,,33,,9724,,93360,,16659,,182060,,,,,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,0,All ships,0.74,,18,,9710,,214286,,7460,,299991,,1911,,19630,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,1,Passenger ships,,,18,,10060,,145655,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,2,Liquid bulk carriers,0.64,,16,,8235,,156919,,13327,,299991,,,,,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,3,Container ships,0.48,,12,,20595,,214286,,,,,,1911,,19630,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,4,Dry breakbulk carriers,0.85,,23,,2982,,24778,,4079,,37534,,,,,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,5,Dry bulk carriers,0.84,,29,,9688,,65950,,15462,,118863,,,,,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,6,Roll-on/ roll-off ships,,,18,,20990,,52485,,11985,,24485,,,,,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,7,Liquefied petroleum gas carriers,1.08,,14,,4087,,9126,,4403,,10300,,,,,
2018S01,S1   2018,2018,S,Semi-annual,251,France,0,All ships,1.11,,16,,23254,,228081,,17264,,323183,,4917,,20776,
2018S01,S1   2018,2018,S,Semi-annual,251,France,1,Passenger ships,,,17,,24685,,228081,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,251,France,2,Liquid bulk carriers,1.06,,13,,13308,,166308,,22763,,323183,,,,,
2018S01,S1   2018,2018,S,Semi-annual,251,France,3,Container ships,0.76,,12,,54780,,217673,,,,,,4917,,20776,
