DATAFLOW,LAST UPDATE,freq,direct,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BE,2010,228228,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BE,2011,232789,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BE,2012,223987,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BE,2013,228130,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BE,2014,237852,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BE,2015,241459,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BE,2016,253543,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BE,2017,257865,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BE,2018,270317,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BE,2019,277783,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BE,2020,268675,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BE,2021,288827,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BG,2010,22946,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BG,2011,25185,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BG,2012,26012,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BG,2013,28841,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BG,2014,27235,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BG,2015,27166,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BG,2016,28685,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BG,2017,30953,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BG,2018,27868,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BG,2019,30997,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BG,2020,25258,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,BG,2021,25576,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,CY,2010,6954,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,CY,2011,6564,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,CY,2012,6236,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,CY,2013,7172,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,CY,2014,7186,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,CY,2015,10268,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,CY,2016,10259,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,CY,2017,7860,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,CY,2018,6948,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,CY,2019,7428,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,CY,2020,7473,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,CY,2021,6985,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DE,2010,275953,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DE,2011,296037,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DE,2012,298758,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DE,2013,297281,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DE,2014,303742,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DE,2015,295918,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DE,2016,297137,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DE,2017,299189,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DE,2018,296181,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DE,2019,294533,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DE,2020,275731,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DE,2021,289130,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DK,2010,87068,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DK,2011,92613,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DK,2012,87827,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DK,2013,88406,
