,Period Label,Year,Location,Vessel Type,Median time in port (days),Average age of vessels,Average size (GT) of vessels,Maximum size (GT) of vessels,Average cargo carrying capacity (dwt) per vessel,Maximum cargo carrying capacity (dwt) of vessels,Average container carrying capacity (TEU) per container ship,Maximum container carrying capacity (TEU) of container ships
0,S1-2018,2018,World,All ships,0.97,18,15222,234006,24074.0,441561.0,3526.0,21413.0
1,S1-2018,2018,World,Passenger ships,,21,8978,228081,,,,
2,S1-2018,2018,World,Liquid bulk carriers,0.94,13,15470,234006,26871.0,441561.0,,
3,S1-2018,2018,World,Container ships,0.69,13,38405,217673,,,3526.0,21413.0
4,S1-2018,2018,World,Dry breakbulk carriers,1.12,19,5455,91784,7413.0,138743.0,,
5,S1-2018,2018,World,Dry bulk carriers,2.1,13,32136,203403,57574.0,404389.0,,
6,S1-2018,2018,World,Roll-on/ roll-off ships,,17,25291,100430,10192.0,55828.0,,
7,S1-2018,2018,World,Liquefied petroleum gas carriers,1.0,14,10548,57509,11915.0,64220.0,,
8,S1-2018,2018,World,Liquefied natural gas carriers,1.11,11,92660,168189,72117.0,155159.0,,
9,S1-2018,2018,Australia,All ships,1.49,19,25686,168666,78572.0,299688.0,4263.0,8084.0
10,S1-2018,2018,Australia,Passenger ships,,27,5105,168666,,,,
11,S1-2018,2018,Australia,Liquid bulk carriers,1.34,7,23585,85496,40187.0,166447.0,,
12,S1-2018,2018,Australia,Container ships,1.19,12,46778,90449,,,4263.0,8084.0
13,S1-2018,2018,Australia,Dry breakbulk carriers,1.69,12,15417,54529,21345.0,80500.0,,
14,S1-2018,2018,Australia,Dry bulk carriers,1.68,9,59996,152305,112598.0,299688.0,,
15,S1-2018,2018,Australia,Roll-on/ roll-off ships,,14,42019,77000,15797.0,43878.0,,
16,S1-2018,2018,Australia,Liquefied petroleum gas carriers,0.87,11,12082,48963,14044.0,55250.0,,
17,S1-2018,2018,Australia,Liquefied natural gas carriers,1.23,9,110103,144978,84312.0,121963.0,,
18,S1-2018,2018,Canada,All ships,0.84,24,14239,168028,35357.0,319547.0,5161.0,14568.0
19,S1-2018,2018,Canada,Passenger ships,,27,8836,168028,,,,
20,S1-2018,2018,Canada,Liquid bulk carriers,1.18,12,23604,161367,39776.0,319547.0,,
21,S1-2018,2018,Canada,Container ships,1.48,12,57642,154300,,,5161.0,14568.0
22,S1-2018,2018,Canada,Dry breakbulk carriers,0.28,8,10336,37447,12753.0,61860.0,,
23,S1-2018,2018,Canada,Dry bulk carriers,0.55,22,28506,108051,49364.0,209935.0,,
24,S1-2018,2018,Canada,Roll-on/ roll-off ships,,24,15380,100430,7900.0,55828.0,,
25,S1-2018,2018,China,All ships,1.01,12,32056,217673,43890.0,403811.0,4644.0,21413.0
