Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value
2020,S,Semi-annual,36,Australia,0,All ships,1.4889,,21,,25790,,169379,,81834.0,,299688.0,,4653.0,,9572.0,,ACAJUTLA,249,0.64,249,-11.0
2020,S,Semi-annual,36,Australia,0,All ships,1.4889,,21,,25790,,169379,,81834.0,,299688.0,,4653.0,,9572.0,,BELL BAY,163,-0.205,163,5.0
2020,S,Semi-annual,36,Australia,0,All ships,1.4889,,21,,25790,,169379,,81834.0,,299688.0,,4653.0,,9572.0,,BRISTOL,294,1.462,277,-19.0
2020,S,Semi-annual,36,Australia,0,All ships,1.4889,,21,,25790,,169379,,81834.0,,299688.0,,4653.0,,9572.0,,FREETOWN,220,0.35,319,-49.0
2020,S,Semi-annual,36,Australia,0,All ships,1.4889,,21,,25790,,169379,,81834.0,,299688.0,,4653.0,,9572.0,,MOJI,111,-0.663,123,11.0
2020,S,Semi-annual,36,Australia,0,All ships,1.4889,,21,,25790,,169379,,81834.0,,299688.0,,4653.0,,9572.0,,PORT BOTANY,337,3.907,327,-63.0
2020,S,Semi-annual,36,Australia,1,Passenger ships,,,29,,4608,,169379,,,,,,,,,,ACAJUTLA,249,0.64,249,-11.0
2020,S,Semi-annual,36,Australia,1,Passenger ships,,,29,,4608,,169379,,,,,,,,,,BELL BAY,163,-0.205,163,5.0
2020,S,Semi-annual,36,Australia,1,Passenger ships,,,29,,4608,,169379,,,,,,,,,,BRISTOL,294,1.462,277,-19.0
2020,S,Semi-annual,36,Australia,1,Passenger ships,,,29,,4608,,169379,,,,,,,,,,FREETOWN,220,0.35,319,-49.0
2020,S,Semi-annual,36,Australia,1,Passenger ships,,,29,,4608,,169379,,,,,,,,,,MOJI,111,-0.663,123,11.0
2020,S,Semi-annual,36,Australia,1,Passenger ships,,,29,,4608,,169379,,,,,,,,,,PORT BOTANY,337,3.907,327,-63.0
2020,S,Semi-annual,36,Australia,2,Liquid bulk carriers,1.2563,,8,,22571,,85496,,38315.0,,164274.0,,,,,,ACAJUTLA,249,0.64,249,-11.0
2020,S,Semi-annual,36,Australia,2,Liquid bulk carriers,1.2563,,8,,22571,,85496,,38315.0,,164274.0,,,,,,BELL BAY,163,-0.205,163,5.0
2020,S,Semi-annual,36,Australia,2,Liquid bulk carriers,1.2563,,8,,22571,,85496,,38315.0,,164274.0,,,,,,BRISTOL,294,1.462,277,-19.0
2020,S,Semi-annual,36,Australia,2,Liquid bulk carriers,1.2563,,8,,22571,,85496,,38315.0,,164274.0,,,,,,FREETOWN,220,0.35,319,-49.0
2020,S,Semi-annual,36,Australia,2,Liquid bulk carriers,1.2563,,8,,22571,,85496,,38315.0,,164274.0,,,,,,MOJI,111,-0.663,123,11.0
