Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
2021S01,S1   2021,2021,S,Semi-annual,0,World,0,All ships,2011317,
2021S01,S1   2021,2021,S,Semi-annual,0,World,1,Passenger ships,1056570,
2021S01,S1   2021,2021,S,Semi-annual,0,World,2,Liquid bulk carriers,250763,
2021S01,S1   2021,2021,S,Semi-annual,0,World,3,Container ships,227901,
2021S01,S1   2021,2021,S,Semi-annual,0,World,4,Dry breakbulk carriers,214034,
2021S01,S1   2021,2021,S,Semi-annual,0,World,5,Dry bulk carriers,138353,
2021S01,S1   2021,2021,S,Semi-annual,0,World,6,Roll-on/ roll-off ships,88305,
2021S01,S1   2021,2021,S,Semi-annual,0,World,7,Liquefied petroleum gas carriers,28682,
2021S01,S1   2021,2021,S,Semi-annual,0,World,8,Liquefied natural gas carriers,6709,
2021S01,S1   2021,2021,S,Semi-annual,36,Australia,0,All ships,29514,
2021S01,S1   2021,2021,S,Semi-annual,36,Australia,1,Passenger ships,15600,
2021S01,S1   2021,2021,S,Semi-annual,36,Australia,2,Liquid bulk carriers,1528,
2021S01,S1   2021,2021,S,Semi-annual,36,Australia,3,Container ships,1836,
2021S01,S1   2021,2021,S,Semi-annual,36,Australia,4,Dry breakbulk carriers,960,
2021S01,S1   2021,2021,S,Semi-annual,36,Australia,5,Dry bulk carriers,7410,
2021S01,S1   2021,2021,S,Semi-annual,36,Australia,6,Roll-on/ roll-off ships,1413,
2021S01,S1   2021,2021,S,Semi-annual,36,Australia,7,Liquefied petroleum gas carriers,213,
2021S01,S1   2021,2021,S,Semi-annual,36,Australia,8,Liquefied natural gas carriers,554,
2021S01,S1   2021,2021,S,Semi-annual,124,Canada,0,All ships,50753,
2021S01,S1   2021,2021,S,Semi-annual,124,Canada,1,Passenger ships,38978,
2021S01,S1   2021,2021,S,Semi-annual,124,Canada,2,Liquid bulk carriers,1952,
2021S01,S1   2021,2021,S,Semi-annual,124,Canada,3,Container ships,997,
2021S01,S1   2021,2021,S,Semi-annual,124,Canada,4,Dry breakbulk carriers,1100,
2021S01,S1   2021,2021,S,Semi-annual,124,Canada,5,Dry bulk carriers,5403,
2021S01,S1   2021,2021,S,Semi-annual,124,Canada,6,Roll-on/ roll-off ships,2306,
