Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Year,Period,Period Label,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
<<<<<<< HEAD
AARHUS,44,-2.036,43,43.0,Denmark,2020,2020S01,S1   2020,S,Semi-annual,208,3,Container ships,660,
COPENHAGEN,129,-0.471,142,8.0,Denmark,2020,2020S01,S1   2020,S,Semi-annual,208,3,Container ships,660,
FREDERICIA,128,-0.493,138,9.0,Denmark,2020,2020S01,S1   2020,S,Semi-annual,208,3,Container ships,660,
LAGOS (NIGERIA),358,-188.317,358,-80.295,Denmark,2020,2020S01,S1   2020,S,Semi-annual,208,3,Container ships,660,
ACAJUTLA,249,0.64,249,-11.0,Australia,2020,2020S01,S1   2020,S,Semi-annual,36,3,Container ships,1884,
BELL BAY,163,-0.205,163,5.0,Australia,2020,2020S01,S1   2020,S,Semi-annual,36,3,Container ships,1884,
BRISTOL,294,1.462,277,-19.0,Australia,2020,2020S01,S1   2020,S,Semi-annual,36,3,Container ships,1884,
FREETOWN,220,0.35,319,-49.0,Australia,2020,2020S01,S1   2020,S,Semi-annual,36,3,Container ships,1884,
MOJI,111,-0.663,123,11.0,Australia,2020,2020S01,S1   2020,S,Semi-annual,36,3,Container ships,1884,
PORT BOTANY,337,3.907,327,-63.0,Australia,2020,2020S01,S1   2020,S,Semi-annual,36,3,Container ships,1884,
ALEXANDRIA (EGYPT),234,0.482,221,-5.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
ALGIERS,315,2.076,318,-49.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
ALTAMIRA,145,-0.324,98,17.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
BARRANQUILLA,169,-0.137,169,3.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
BILBAO,224,0.384,243,-10.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
CAI LAN,46,-1.991,74,27.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
GENOA,321,2.42,196,-1.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
MANZANILLO (MEXICO),275,1.07,145,8.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
PORT LOUIS,344,5.501,346,-175.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
SANTO TOMAS DE CASTILLA,203,0.185,201,-2.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
TANJUNG PRIOK,64,-1.521,66,31.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
UMM QASR,233,0.452,294,-27.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
VENICE,274,1.042,295,-27.0,Spain,2020,2020S01,S1   2020,S,Semi-annual,724,3,Container ships,6939,
AMBARLI,57,-1.783,61,32.0,Turkey,2020,2020S01,S1   2020,S,Semi-annual,792,3,Container ships,5554,
BOSTON (USA),113,-0.631,73,27.0,Turkey,2020,2020S01,S1   2020,S,Semi-annual,792,3,Container ships,5554,
DILISKELESI,54,-1.842,75,27.0,Turkey,2020,2020S01,S1   2020,S,Semi-annual,792,3,Container ships,5554,
GDYNIA,90,-0.942,79,26.0,Turkey,2020,2020S01,S1   2020,S,Semi-annual,792,3,Container ships,5554,
ITAPOA,69,-1.376,269,-18.0,Turkey,2020,2020S01,S1   2020,S,Semi-annual,792,3,Container ships,5554,
JAWAHARLAL NEHRU PORT,56,-1.786,59,33.0,Turkey,2020,2020S01,S1   2020,S,Semi-annual,792,3,Container ships,5554,
MOMBASA,331,3.14,335,-79.0,Turkey,2020,2020S01,S1   2020,S,Semi-annual,792,3,Container ships,5554,
NGQURA,363,-359.179,349,-190.0,Turkey,2020,2020S01,S1   2020,S,Semi-annual,792,3,Container ships,5554,
PORT AKDENIZ,96,-0.82,154,6.0,Turkey,2020,2020S01,S1   2020,S,Semi-annual,792,3,Container ships,5554,
SAN JUAN,148,-0.303,164,5.0,Turkey,2020,2020S01,S1   2020,S,Semi-annual,792,3,Container ships,5554,
YARIMCA,68,-1.393,58,33.0,Turkey,2020,2020S01,S1   2020,S,Semi-annual,792,3,Container ships,5554,
ANCONA,193,0.067,183,0.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380,3,Container ships,3937,
BATANGAS,112,-0.663,144,8.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380,3,Container ships,3937,
CASTELLON,144,-0.339,157,6.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380,3,Container ships,3937,
CHORNOMORSK,230,0.449,274,-19.0,Italy,2020,2020S01,S1   2020,S,Semi-annual,380,3,Container ships,3937,
