<<<<<<< HEAD
Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value
2020,S,Semi-annual,36,Australia,3,Container ships,1.3083,,13,,50747,,109712,,,,,,4653.0,,9572.0,,ACAJUTLA,249,0.64,249,-11.0
2020,S,Semi-annual,36,Australia,3,Container ships,1.3083,,13,,50747,,109712,,,,,,4653.0,,9572.0,,BELL BAY,163,-0.205,163,5.0
2020,S,Semi-annual,36,Australia,3,Container ships,1.3083,,13,,50747,,109712,,,,,,4653.0,,9572.0,,BRISTOL,294,1.462,277,-19.0
2020,S,Semi-annual,36,Australia,3,Container ships,1.3083,,13,,50747,,109712,,,,,,4653.0,,9572.0,,FREETOWN,220,0.35,319,-49.0
2020,S,Semi-annual,36,Australia,3,Container ships,1.3083,,13,,50747,,109712,,,,,,4653.0,,9572.0,,MOJI,111,-0.663,123,11.0
2020,S,Semi-annual,36,Australia,3,Container ships,1.3083,,13,,50747,,109712,,,,,,4653.0,,9572.0,,PORT BOTANY,337,3.907,327,-63.0
2020,S,Semi-annual,124,Canada,3,Container ships,1.6229,,14,,57154,,153666,,,,,,5192.0,,14414.0,,HAKATA,99,-0.758,25,59.0
2020,S,Semi-annual,124,Canada,3,Container ships,1.6229,,14,,57154,,153666,,,,,,5192.0,,14414.0,,NAHA,92,-0.883,111,15.0
2020,S,Semi-annual,124,Canada,3,Container ships,1.6229,,14,,57154,,153666,,,,,,5192.0,,14414.0,,PRINCE RUPERT,330,2.979,323,-56.0
2020,S,Semi-annual,124,Canada,3,Container ships,1.6229,,14,,57154,,153666,,,,,,5192.0,,14414.0,,SALERNO,174,-0.08,168,3.0
2020,S,Semi-annual,124,Canada,3,Container ships,1.6229,,14,,57154,,153666,,,,,,5192.0,,14414.0,,VALPARAISO,222,0.365,102,16.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,CHATTOGRAM,306,1.809,298,-28.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,DAKAR,177,-0.031,120,12.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,DAMIETTA,250,0.65,297,-28.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,FREMANTLE,326,2.716,21,61.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,GRANGEMOUTH,243,0.56,6,92.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,LONDON,82,-1.117,355,-73.209
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,NOUAKCHOTT,356,-175.532,292,-25.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,QINZHOU,127,-0.523,148,8.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,QUY NHON,79,-1.163,104,16.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,SHANTOU,91,-0.935,117,12.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,SHEKOU,9,-3.726,5,94.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,SHIMIZU,12,-3.361,24,59.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,THESSALONIKI,284,1.229,284,-22.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,"WILMINGTON (NORTH CAROLINA, USA)",155,-0.237,67,30.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,YANGSHAN,28,-2.733,10,87.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,YANTIAN,29,-2.724,17,73.0
2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,,ZHOUSHAN,20,-2.963,8,88.0
2020,S,Semi-annual,191,Croatia,3,Container ships,0.6507,,13,,31594,,153744,,,,,,2951.0,,15226.0,,RIO GRANDE (BRAZIL),74,-1.332,47,42.0
2020,S,Semi-annual,208,Denmark,3,Container ships,0.4458,,18,,19275,,214286,,,,,,1813.0,,19630.0,,AARHUS,44,-2.036,43,43.0
2020,S,Semi-annual,208,Denmark,3,Container ships,0.4458,,18,,19275,,214286,,,,,,1813.0,,19630.0,,COPENHAGEN,129,-0.471,142,8.0
2020,S,Semi-annual,208,Denmark,3,Container ships,0.4458,,18,,19275,,214286,,,,,,1813.0,,19630.0,,FREDERICIA,128,-0.493,138,9.0
2020,S,Semi-annual,208,Denmark,3,Container ships,0.4458,,18,,19275,,214286,,,,,,1813.0,,19630.0,,LAGOS (NIGERIA),358,-188.317,358,-80.295
2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,,BORUSAN,166,-0.163,195,-1.0
2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,,DUNKIRK,118,-0.611,305,-33.0
2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,,FORT−DE−FRANCE,125,-0.543,112,15.0
2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,,GUAYAQUIL,336,3.647,161,5.0
2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,,LIVORNO,251,0.658,332,-77.0
2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,,MEJILLONES,289,1.381,311,-38.0
2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,,MIAMI,200,0.149,114,14.0
2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,,NEMRUT BAY,329,2.97,326,-61.0
2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,,OAKLAND,332,3.163,334,-79.0
2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,,PAPEETE,157,-0.227,167,4.0
2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,,POINTE-NOIRE,362,-320.281,362,-110.337
2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,,PORT OF SPAIN,260,0.775,248,-11.0
2020,S,Semi-annual,276,Germany,3,Container ships,0.9667,,13,,48606,,232618,,,,,,4455.0,,23964.0,,BRISBANE,246,0.569,234,-8.0
2020,S,Semi-annual,276,Germany,3,Container ships,0.9667,,13,,48606,,232618,,,,,,4455.0,,23964.0,,HAMAD PORT,36,-2.411,191,0.0
2020,S,Semi-annual,276,Germany,3,Container ships,0.9667,,13,,48606,,232618,,,,,,4455.0,,23964.0,,WELLINGTON,176,-0.049,141,8.0
2020,S,Semi-annual,300,Greece,3,Container ships,0.9861,,16,,39631,,215553,,,,,,3699.0,,21413.0,,"HONG KONG, HONG KONG SAR, CHINA",7,-4.276,242,-9.0
2020,S,Semi-annual,300,Greece,3,Container ships,0.9861,,16,,39631,,215553,,,,,,3699.0,,21413.0,,PIRAEUS,93,-0.859,89,23.0
2020,S,Semi-annual,300,Greece,3,Container ships,0.9861,,16,,39631,,215553,,,,,,3699.0,,21413.0,,TEMA,354,-160.565,353,-67.093
2020,S,Semi-annual,360,Indonesia,3,Container ships,0.9799,,14,,15882,,172000,,,,,,1534.0,,14855.0,,BELAWAN,197,0.104,202,-2.0
2020,S,Semi-annual,360,Indonesia,3,Container ships,0.9799,,14,,15882,,172000,,,,,,1534.0,,14855.0,,PANJANG,247,0.573,229,-7.0
2020,S,Semi-annual,360,Indonesia,3,Container ships,0.9799,,14,,15882,,172000,,,,,,1534.0,,14855.0,,TANGER MEDITERRANEAN,27,-2.769,15,76.0
2020,S,Semi-annual,360,Indonesia,3,Container ships,0.9799,,14,,15882,,172000,,,,,,1534.0,,14855.0,,TANJUNG PELEPAS,13,-3.342,11,86.0
2020,S,Semi-annual,360,Indonesia,3,Container ships,0.9799,,14,,15882,,172000,,,,,,1534.0,,14855.0,,TANJUNG PERAK,153,-0.269,172,3.0
2020,S,Semi-annual,380,Italy,3,Container ships,0.916,,16,,44139,,232618,,,,,,4031.0,,23756.0,,ANCONA,193,0.067,183,0.0
2020,S,Semi-annual,380,Italy,3,Container ships,0.916,,16,,44139,,232618,,,,,,4031.0,,23756.0,,BATANGAS,112,-0.663,144,8.0
2020,S,Semi-annual,380,Italy,3,Container ships,0.916,,16,,44139,,232618,,,,,,4031.0,,23756.0,,CASTELLON,144,-0.339,157,6.0
2020,S,Semi-annual,380,Italy,3,Container ships,0.916,,16,,44139,,232618,,,,,,4031.0,,23756.0,,CHORNOMORSK,230,0.449,274,-19.0
2020,S,Semi-annual,380,Italy,3,Container ships,0.916,,16,,44139,,232618,,,,,,4031.0,,23756.0,,GEMLIK,51,-1.892,282,-21.0
2020,S,Semi-annual,380,Italy,3,Container ships,0.916,,16,,44139,,232618,,,,,,4031.0,,23756.0,,GIJON,187,0.013,212,-4.0
2020,S,Semi-annual,380,Italy,3,Container ships,0.916,,16,,44139,,232618,,,,,,4031.0,,23756.0,,LATAKIA,171,-0.135,23,60.0
2020,S,Semi-annual,380,Italy,3,Container ships,0.916,,16,,44139,,232618,,,,,,4031.0,,23756.0,,LUANDA,350,8.383,343,-115.0
2020,S,Semi-annual,380,Italy,3,Container ships,0.916,,16,,44139,,232618,,,,,,4031.0,,23756.0,,NEW ORLEANS,265,0.865,237,-9.0
2020,S,Semi-annual,380,Italy,3,Container ships,0.916,,16,,44139,,232618,,,,,,4031.0,,23756.0,,PALERMO,172,-0.125,182,1.0
2020,S,Semi-annual,380,Italy,3,Container ships,0.916,,16,,44139,,232618,,,,,,4031.0,,23756.0,,RIJEKA,312,1.974,279,-20.0
