Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
2020S01,S1   2020,2020,S,Semi-annual,0,World,0,All ships,0.9944,,18,,15125,,235500,,25118.0,,441561.0,,3516.0,,23964.0,
2020S01,S1   2020,2020,S,Semi-annual,0,World,1,Passenger ships,,,20,,7977,,228081,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,0,World,2,Liquid bulk carriers,0.9701,,14,,15828,,234006,,27469.0,,441561.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,0,World,3,Container ships,0.6861,,14,,37990,,235500,,,,,,3516.0,,23964.0,
2020S01,S1   2020,2020,S,Semi-annual,0,World,4,Dry breakbulk carriers,1.1757,,21,,5469,,91784,,7443.0,,116173.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,0,World,5,Dry bulk carriers,2.0868,,14,,32270,,204014,,57693.0,,404389.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,0,World,6,Roll-on/ roll-off ships,,,17,,25093,,100430,,10141.0,,55828.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,0,World,7,Liquefied petroleum gas carriers,1.0389,,15,,10848,,59226,,12214.0,,64220.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,0,World,8,Liquefied natural gas carriers,1.1111,,11,,96625,,168189,,75321.0,,156000.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,0,All ships,1.4889,,21,,25790,,169379,,81834.0,,299688.0,,4653.0,,9572.0,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,1,Passenger ships,,,29,,4608,,169379,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,2,Liquid bulk carriers,1.2563,,8,,22571,,85496,,38315.0,,164274.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,3,Container ships,1.3083,,13,,50747,,109712,,,,,,4653.0,,9572.0,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,4,Dry breakbulk carriers,2.226,,12,,22170,,54725,,31804.0,,80500.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,5,Dry bulk carriers,1.6215,,10,,59257,,152457,,110888.0,,299688.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,6,Roll-on/ roll-off ships,,,13,,37141,,76420,,14643.0,,43878.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,7,Liquefied petroleum gas carriers,0.9323,,10,,13740,,50676,,15648.0,,58591.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,8,Liquefied natural gas carriers,1.1851,,9,,111338,,144978,,85324.0,,97730.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,0,All ships,0.9944,,27,,11129,,170618,,35515.0,,320780.0,,5192.0,,14414.0,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,1,Passenger ships,,,31,,6277,,149215,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,2,Liquid bulk carriers,1.0917,,12,,23713,,170618,,39795.0,,320780.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,3,Container ships,1.6229,,14,,57154,,153666,,,,,,5192.0,,14414.0,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,4,Dry breakbulk carriers,1.0125,,13,,13242,,41580,,18517.0,,56816.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,5,Dry bulk carriers,0.5833,,21,,29092,,109500,,49986.0,,209954.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,6,Roll-on/ roll-off ships,,,18,,10842,,100430,,6098.0,,55828.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,7,Liquefied petroleum gas carriers,1.4882,,11,,41307,,51035,,48907.0,,54804.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,
2020S01,S1   2020,2020,S,Semi-annual,156,China,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,156,China,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000.0,,323182.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,156,China,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665.0,,23964.0,
2020S01,S1   2020,2020,S,Semi-annual,156,China,4,Dry breakbulk carriers,1.2507,,17,,10009,,91649,,14189.0,,101496.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,156,China,5,Dry bulk carriers,2.0215,,13,,41352,,204014,,75286.0,,404389.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,156,China,6,Roll-on/ roll-off ships,,,14,,34409,,76420,,11208.0,,43878.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,156,China,7,Liquefied petroleum gas carriers,1.0083,,15,,8225,,59226,,9047.0,,64220.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,156,China,8,Liquefied natural gas carriers,1.1778,,10,,95555,,168189,,76135.0,,155159.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,191,Croatia,0,All ships,1.1111,,17,,3635,,153744,,14636.0,,178361.0,,2951.0,,15226.0,
2020S01,S1   2020,2020,S,Semi-annual,191,Croatia,1,Passenger ships,,,16,,3175,,128052,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,191,Croatia,2,Liquid bulk carriers,0.9476,,14,,15627,,83545,,26853.0,,159999.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,191,Croatia,3,Container ships,0.6507,,13,,31594,,153744,,,,,,2951.0,,15226.0,
2020S01,S1   2020,2020,S,Semi-annual,191,Croatia,4,Dry breakbulk carriers,2.1979,,22,,4712,,45349,,6275.0,,52037.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,191,Croatia,5,Dry bulk carriers,1.7819,,35,,7300,,94035,,12040.0,,178361.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,208,Denmark,0,All ships,0.7868,,19,,9477,,214286,,7567.0,,159233.0,,1813.0,,19630.0,
2020S01,S1   2020,2020,S,Semi-annual,208,Denmark,1,Passenger ships,,,19,,9814,,75156,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,208,Denmark,2,Liquid bulk carriers,0.7076,,16,,8498,,90000,,13469.0,,159233.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,208,Denmark,3,Container ships,0.4458,,18,,19275,,214286,,,,,,1813.0,,19630.0,
2020S01,S1   2020,2020,S,Semi-annual,208,Denmark,4,Dry breakbulk carriers,0.9441,,24,,3025,,24778,,4081.0,,33217.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,208,Denmark,5,Dry bulk carriers,0.858,,15,,8922,,54486,,14477.0,,95263.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,208,Denmark,6,Roll-on/ roll-off ships,,,20,,20676,,59217,,12435.0,,24485.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,208,Denmark,7,Liquefied petroleum gas carriers,1.0302,,11,,5125,,20151,,5719.0,,24281.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,251,France,0,All ships,1.2042,,16,,22519,,235500,,16967.0,,320926.0,,5012.0,,23656.0,
2020S01,S1   2020,2020,S,Semi-annual,251,France,1,Passenger ships,,,17,,24270,,183900,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,251,France,2,Liquid bulk carriers,1.0958,,13,,11924,,166308,,19798.0,,320926.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,251,France,3,Container ships,0.8062,,14,,55802,,235500,,,,,,5012.0,,23656.0,
2020S01,S1   2020,2020,S,Semi-annual,251,France,4,Dry breakbulk carriers,1.7167,,17,,4627,,46112,,6471.0,,72924.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,251,France,5,Dry bulk carriers,3.1076,,13,,23795,,106952,,40825.0,,205203.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,251,France,6,Roll-on/ roll-off ships,,,16,,29581,,76420,,11906.0,,45200.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,251,France,7,Liquefied petroleum gas carriers,1.1017,,12,,8674,,48167,,9743.0,,58610.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,251,France,8,Liquefied natural gas carriers,1.1625,,9,,106800,,163922,,82536.0,,130026.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,276,Germany,0,All ships,0.8205,,19,,14244,,232618,,9305.0,,297638.0,,4455.0,,23964.0,
2020S01,S1   2020,2020,S,Semi-annual,276,Germany,1,Passenger ships,,,20,,12043,,125572,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,276,Germany,2,Liquid bulk carriers,0.5208,,17,,5045,,157316,,8436.0,,297638.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,276,Germany,3,Container ships,0.9667,,13,,48606,,232618,,,,,,4455.0,,23964.0,
2020S01,S1   2020,2020,S,Semi-annual,276,Germany,4,Dry breakbulk carriers,1.0104,,21,,3683,,71543,,4852.0,,62053.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,276,Germany,5,Dry bulk carriers,2.6139,,14,,27377,,109716,,47845.0,,211081.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,276,Germany,6,Roll-on/ roll-off ships,,,16,,30253,,100430,,12041.0,,55828.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,276,Germany,7,Liquefied petroleum gas carriers,0.8333,,13,,5416,,26261,,5922.0,,38427.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,300,Greece,0,All ships,0.849,,21,,8161,,215553,,7628.0,,174008.0,,3699.0,,21413.0,
2020S01,S1   2020,2020,S,Semi-annual,300,Greece,1,Passenger ships,,,19,,7240,,168666,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,300,Greece,2,Liquid bulk carriers,0.6354,,22,,5511,,87146,,8796.0,,167295.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,300,Greece,3,Container ships,0.9861,,16,,39631,,215553,,,,,,3699.0,,21413.0,
2020S01,S1   2020,2020,S,Semi-annual,300,Greece,4,Dry breakbulk carriers,1.2424,,33,,2767,,22064,,3875.0,,33422.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,300,Greece,5,Dry bulk carriers,0.4056,,26,,5981,,88930,,10076.0,,174008.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,300,Greece,6,Roll-on/ roll-off ships,,,32,,16602,,76420,,6983.0,,28818.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,300,Greece,7,Liquefied petroleum gas carriers,0.9722,,23,,5687,,17242,,6770.0,,18111.0,,,,,
