Port Name,Administrative Approach Rank_2020,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Year,,Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Year
AARHUS,44,-2.036,43,43,Denmark,2020,,AARHUS,82,50.953,67,24.076,Denmark,2021
ABIDJAN,360,-216.138,359,-93.807,El Salvador's,2020,,ABIDJAN,360,-216.138,359,-93.807,Ivory Coast,2021
ABIDJAN,228,0.439,217,-5,Ivory Coast,2020,,ACAJUTLA,271,-12.182,269,-5.39,El Salvador's,2021
ACAJUTLA,249,0.64,249,-11,Australia,2020,,ADELAIDE,264,-9.863,257,-3.425,Australia,2021
ADELAIDE,339,4.546,333,-78,Yemen,2020,,ADEN,305,-34.779,285,-9.507,Yemen,2021
AGADIR,276,1.122,267,-17,Morocco,2020,,AGADIR,261,-8.711,260,-3.714,Morocco,2021
AGUADULCE (COLOMBIA),45,-2.035,30,56,Egypt,2020,,ALEXANDRIA (EGYPT),277,-15.305,266,-5.001,Egypt,2021
ALEXANDRIA (EGYPT),234,0.482,221,-5,Spain,2020,,ALGECIRAS,11,155.851,10,70.323,Spain,2021
ALGECIRAS,10,-3.597,32,53,Algeria,2020,,ALGIERS,306,-36.205,305,-15.275,Algeria,2021
ALGIERS,315,2.076,318,-49,Spain,2020,,ALICANTE,229,1.007,222,0.745,Spain,2021
ALTAMIRA,145,-0.324,98,17,Spain,2020,,ALTAMIRA,85,50.07,76,21.645,Spain,2021
AMBARLI,57,-1.783,61,32,Turkey,2020,,AMBARLI,43,93.586,36,42.53,Turkey,2021
ANCONA,193,0.067,183,0,Italy,2020,,ANCONA,179,11.804,168,5.537,Italy,2021
ANTWERP,86,-1.011,65,31,Chile,2020,,ANTOFAGASTA,234,-0.322,273,-5.76,Chile,2021
APRA HARBOR,248,0.61,232,-7,Belgium,2020,,ANTWERP,96,45.146,78,20.671,Belgium,2021
AQABA,60,-1.594,41,47,United States territory of Guam,2020,,APRA HARBOR,199,7.721,203,2.387,United States territory of Guam,2021
ARICA,207,0.211,247,-11,Jordan,2020,,AQABA,35,101.25,32,45.327,Jordan,2021
ASHDOD,327,2.797,315,-42,Chile,2020,,ARICA,297,-30.042,295,-12.157,Chile,2021
AUCKLAND,123,-0.562,118,12,Israel,2020,,ASHDOD,329,-69.31,342,-46.157,Israel,2021
BALBOA,114,-0.625,78,27,New Zealand,2020,,AUCKLAND,351,-142.913,350,-62.159,New Zealand,2021
BALTIMORE (USA),138,-0.368,119,12,USA,2020,,BALBOA,60,67.846,55,29.611,United States of America,2021
BANGKOK,271,1.024,259,-15,Maryland,2020,,BALTIMORE (MARYLAND),76,54.641,68,23.73,Maryland,2021
BARCELONA,76,-1.224,46,42,Thailand,2020,,BANGKOK,299,-30.452,304,-14.923,Thailand,2021
BARI,201,0.167,203,-2,Montenegro,2020,,BAR,183,11.238,182,4.639,Montenegro,2021
BARRANQUILLA,169,-0.137,169,3,Spain,2020,,BARCELONA,22,119.332,19,55.311,Spain,2021
BATANGAS,112,-0.663,144,8,Italy,2020,,BARI,193,9.166,194,3.49,Italy,2021
BATUMI,316,2.175,275,-19,Colombia,2020,,BARRANQUILLA,159,16.034,163,5.981,Colombia,2021
BEIRA,268,0.919,281,-21,Georgia,2020,,BATUMI,245,-2.241,233,-0.183,Georgia,2021
BEIRUT,357,-183.442,356,-73.234,Lebanon,2020,,BEIRA,270,-12.045,268,-5.257,Mozambique,2021
BEIRUT,11,-3.378,62,32,Mozambique,2020,,BEIRUT,357,-183.442,356,-73.234,Lebanon,2021
BEJAIA,338,4.054,330,-72,Algeria,2020,,BEJAIA,285,-21.27,289,-10.471,Algeria,2021
BELAWAN,197,0.104,202,-2,Indonesia,2020,,BELAWAN,250,-3.89,238,-0.48,Indonesia,2021
BELL BAY,163,-0.205,163,5,Australia,2020,,BELL BAY,218,3.146,211,1.682,Australia,2021
BERBERA,223,0.368,245,-10,Somaliland,2020,,BERBERA,184,10.913,165,5.752,Somaliland,2021
BILBAO,224,0.384,243,-10,Spain,2020,,BILBAO,202,7.192,201,2.558,Spain,2021
BLUFF,257,0.731,239,-9,New Zealand,2020,,BLUFF,241,-1.784,234,-0.308,New Zealand,2021
BORUSAN,166,-0.163,195,-1,France,2020,,BORDEAUX,228,1.158,223,0.626,France,2021
BOSTON (USA),113,-0.631,73,27,Turkey,2020,,BORUnited States of AmericaN,148,18.332,149,7.476,Turkey,2021
BREMERHAVEN,41,-2.265,85,24,USA,2020,,BOSTON (United States of America),117,33.384,115,13.428,United States of America,2021
BRISBANE,246,0.569,234,-8,Germany,2020,,BREMERHAVEN,59,67.922,54,29.896,Germany,2021
BRISTOL,294,1.462,277,-19,Australia,2020,,BRISBANE,288,-24.619,281,-8.469,Australia,2021
BUENAVENTURA,72,-1.353,71,29,United Kingdom,2020,,BRISTOL,343,-111.703,344,-52.914,United Kingdom,2021
BUENOS AIRES,320,2.391,310,-37,Colombia,2020,,BUENAVENTURA,20,124.415,23,53.033,Colombia,2021
BURGAS,117,-0.611,133,9,Argentina,2020,,BUENOS AIRES,141,21.032,124,10.536,Argentina,2021
BUSAN,52,-1.887,36,51,Bulgaria,2020,,BUnited States of AmericaN,25,114.739,25,52.307,South Korea,2021
CAGAYAN DE ORO,122,-0.582,128,10,South Korea,2020,,BURGAS,195,8.586,197,3.072,Bulgaria,2021
CAI LAN,46,-1.991,74,27,Spain,2020,,CADIZ,221,2.588,217,1.288,Spain,2021
CAI MEP,49,-1.932,18,68,Philippines,2020,,CAGAYAN DE ORO,208,4.44,226,0.415,Philippines,2021
CALDERA (COSTA RICA),162,-0.206,165,4,Vietnam,2020,,CAI MEP,13,148.433,11,67.529,Vietnam,2021
CALLAO,231,0.45,56,34,Costa Rica,2020,,CALDERA (COSTA RICA),260,-8.156,264,-4.755,Costa Rica,2021
CAPE TOWN,347,6.528,347,-177,Peru,2020,,CALLAO,258,-6.638,186,4.4,Peru,2021
CAPE TOWN,365,-410.746,364,-159.253,South Africa,2020,,CAPE TOWN,365,-410.746,364,-159.253,South Africa,2021
CARTAGENA (COLOMBIA),42,-2.185,34,52,Colombia,2020,,CARTAGENA (COLOMBIA),12,152.95,15,61.901,Colombia,2021
CARTAGENA (SPAIN),168,-0.153,179,1,Morocco,2020,,CASABLANCA,262,-9.239,262,-4.073,Morocco,2021
CASABLANCA,291,1.442,268,-17,Vietnam,2020,,CAT LAI,145,19.813,132,9.46,Vietnam,2021
CASTELLON,144,-0.339,157,6,Italy,2020,,CATANIA,191,9.365,193,3.579,Italy,2021
CAT LAI,80,-1.149,109,15,Dominican Republic,2020,,CAUCEDO,114,34.291,99,16.868,Dominican Republic,2021
CATANIA,180,-0.021,190,0, Philippines,2020,,CEBU,164,14.903,171,5.364, Philippines,2021
CAUCEDO,40,-2.355,68,30,USA,2020,,CHARLESTON,130,26.183,187,4.399,United States of America,2021
CEBU,151,-0.275,140,8,Bangladesh,2020,,CHATTOGRAM,341,-109.249,347,-54.949,Bangladesh,2021
CHARLESTON,95,-0.82,53,38,India,2020,,CHENNAI,79,53.394,92,18.847,India,2021
CHATTOGRAM,306,1.809,298,-28,China,2020,,CHIWAN,17,132.828,20,55.013,China,2021
