Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
KING ABDULLAH PORT,1,217.914,Saudi Arabia,KING ABDULLAH PORT,1,93.387,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,
JEDDAH,8,161.493,Saudi Arabia,JEDDAH,8,73.527,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,
DAMMAM,14,143.504,Saudi Arabia,DAMMAM,14,62.454,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,
JUBAIL,249,-3.792,Saudi Arabia,KAWASAKI,249,-1.752,Japan,,,,,,,,,,,,,,,,,,,,,,,,
SALALAH,2,197.675,Oman,SALALAH,2,87.372,Oman,,,,,,,,,,,,,,,,,,,,,,,,
SOHAR,47,89.717,Oman,SOHAR,47,35.096,Oman,,,,,,,,,,,,,,,,,,,,,,,,
HAMAD PORT,3,194.823,Qatatr,YANGSHAN,3,83.522,China,,,,,,,,,,,,,,,,,,,,,,,,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,0,All ships,1.01,,12,,32056,,217673,,43890,,403811,,4644,,21413,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,1,Passenger ships,,,10,,17075,,168666,,,,,,,,,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,2,Liquid bulk carriers,1.09,,11,,19404,,172146,,33892,,323527,,,,,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,3,Container ships,0.6,,11,,50187,,217673,,,,,,4644,,21413,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,4,Dry breakbulk carriers,1.15,,15,,9744,,91784,,14027,,138743,,,,,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,5,Dry bulk carriers,1.99,,11,,41091,,203403,,74721,,403811,,,,,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29504,,77000,,9715,,43878,,,,,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,7,Liquefied petroleum gas carriers,0.98,,12,,10094,,49292,,11170,,64220,,,,,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,8,Liquefied natural gas carriers,1.26,,9,,102691,,168189,,83873,,154940,,,,,
NINGBO,7,170.696,China,NINGBO,7,76.077,China,2018S01,S1   2018,2018,S,Semi-annual,156,0,All ships,1.01,,12,,32056,,217673,,43890,,403811,,4644,,21413,
NINGBO,7,170.696,China,NINGBO,7,76.077,China,2018S01,S1   2018,2018,S,Semi-annual,156,1,Passenger ships,,,10,,17075,,168666,,,,,,,,,
