,Port Name,Administrative Approach Rank,Total Points,Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
0,KING ABDULLAH PORT,1,217.914,Saudi Arabia,KING ABDULLAH PORT,1,93.387,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,
1,JEDDAH,8,161.493,Saudi Arabia,JEDDAH,8,73.527,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,
2,DAMMAM,14,143.504,Saudi Arabia,DAMMAM,14,62.454,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,
3,JUBAIL,249,-3.792,Saudi Arabia,KAWASAKI,249,-1.752,Japan,,,,,,,,,,,,,,,,,,,,,,,,
4,SALALAH,2,197.675,Oman,SALALAH,2,87.372,Oman,,,,,,,,,,,,,,,,,,,,,,,,
5,SOHAR,47,89.717,Oman,SOHAR,47,35.096,Oman,,,,,,,,,,,,,,,,,,,,,,,,
6,HAMAD PORT,3,194.823,Qatatr,YANGSHAN,3,83.522,China,,,,,,,,,,,,,,,,,,,,,,,,
7,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,0,All ships,1.01,,12,,32056,,217673,,43890,,403811,,4644,,21413,
8,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,1,Passenger ships,,,10,,17075,,168666,,,,,,,,,
9,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,2,Liquid bulk carriers,1.09,,11,,19404,,172146,,33892,,323527,,,,,
10,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,3,Container ships,0.6,,11,,50187,,217673,,,,,,4644,,21413,
11,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,4,Dry breakbulk carriers,1.15,,15,,9744,,91784,,14027,,138743,,,,,
12,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,5,Dry bulk carriers,1.99,,11,,41091,,203403,,74721,,403811,,,,,
13,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29504,,77000,,9715,,43878,,,,,
14,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,7,Liquefied petroleum gas carriers,0.98,,12,,10094,,49292,,11170,,64220,,,,,
15,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S01,S1   2018,2018,S,Semi-annual,156,8,Liquefied natural gas carriers,1.26,,9,,102691,,168189,,83873,,154940,,,,,
16,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S02,S2   2018,2018,S,Semi-annual,156,0,All ships,1.04,,12,,32682,,217673,,44703,,404389,,4646,,21413,
17,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S02,S2   2018,2018,S,Semi-annual,156,1,Passenger ships,,,11,,18176,,168666,,,,,,,,,
18,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S02,S2   2018,2018,S,Semi-annual,156,2,Liquid bulk carriers,1.11,,10,,19635,,170004,,34299,,323527,,,,,
19,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S02,S2   2018,2018,S,Semi-annual,156,3,Container ships,0.63,,11,,50122,,217673,,,,,,4646,,21413,
20,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S02,S2   2018,2018,S,Semi-annual,156,4,Dry breakbulk carriers,1.19,,15,,10413,,91784,,14961,,138743,,,,,
21,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S02,S2   2018,2018,S,Semi-annual,156,5,Dry bulk carriers,2,,11,,40877,,203483,,74302,,404389,,,,,
22,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S02,S2   2018,2018,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29816,,76420,,9901,,43878,,,,,
23,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S02,S2   2018,2018,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.01,,13,,9632,,58100,,10689,,58899,,,,,
24,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2018S02,S2   2018,2018,S,Semi-annual,156,8,Liquefied natural gas carriers,1.19,,8,,102757,,168189,,82671,,155159,,,,,
25,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S01,S1   2019,2019,S,Semi-annual,156,0,All ships,1.0458,,12,,31924,,219775,,44509,,404389,,4681,,21413,
26,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S01,S1   2019,2019,S,Semi-annual,156,1,Passenger ships,,,11,,15984,,168666,,,,,,,,,
27,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S01,S1   2019,2019,S,Semi-annual,156,2,Liquid bulk carriers,1.1069,,11,,18503,,172146,,32225,,323183,,,,,
28,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S01,S1   2019,2019,S,Semi-annual,156,3,Container ships,0.6062,,12,,50166,,219775,,,,,,4681,,21413,
29,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S01,S1   2019,2019,S,Semi-annual,156,4,Dry breakbulk carriers,1.2014,,15,,10122,,84503,,14388,,105302,,,,,
30,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S01,S1   2019,2019,S,Semi-annual,156,5,Dry bulk carriers,1.9813,,12,,41000,,203483,,74504,,404389,,,,,
31,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S01,S1   2019,2019,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29295,,77000,,9475,,43878,,,,,
32,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S01,S1   2019,2019,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0021,,14,,9241,,50676,,10275,,58899,,,,,
33,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S01,S1   2019,2019,S,Semi-annual,156,8,Liquefied natural gas carriers,1.2083,,10,,98898,,168189,,78972,,155159,,,,,
34,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S02,S2   2019,2019,S,Semi-annual,156,0,All ships,1.0313,,12,,32389,,232618,,45529,,404389,,4659,,23756,
35,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S02,S2   2019,2019,S,Semi-annual,156,1,Passenger ships,,,12,,17154,,169379,,,,,,,,,
36,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S02,S2   2019,2019,S,Semi-annual,156,2,Liquid bulk carriers,1.0646,,10,,20505,,172146,,35963,,323183,,,,,
37,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S02,S2   2019,2019,S,Semi-annual,156,3,Container ships,0.5958,,12,,49970,,232618,,,,,,4659,,23756,
38,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S02,S2   2019,2019,S,Semi-annual,156,4,Dry breakbulk carriers,1.1667,,16,,10077,,91784,,14323,,138743,,,,,
39,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S02,S2   2019,2019,S,Semi-annual,156,5,Dry bulk carriers,2.0319,,12,,42121,,204014,,76729,,404389,,,,,
40,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S02,S2   2019,2019,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29367,,76420,,9472,,43878,,,,,
41,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S02,S2   2019,2019,S,Semi-annual,156,7,Liquefied petroleum gas carriers,0.975,,15,,8023,,59226,,8914,,64220,,,,,
42,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2019S02,S2   2019,2019,S,Semi-annual,156,8,Liquefied natural gas carriers,1.1844,,9,,96112,,168189,,75851,,155159,,,,,
43,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2020S01,S1   2020,2020,S,Semi-annual,156,0,All ships,1.0556,,13,,32136,,235500,,45636,,404389,,4665,,23964,
44,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2020S01,S1   2020,2020,S,Semi-annual,156,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,
45,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2020S01,S1   2020,2020,S,Semi-annual,156,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000,,323182,,,,,
46,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2020S01,S1   2020,2020,S,Semi-annual,156,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665,,23964,
47,YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2020S01,S1   2020,2020,S,Semi-annual,156,4,Dry breakbulk carriers,1.2507,,17,,10009,,91649,,14189,,101496,,,,,
